,TwonHalfDecade,constituentid_x,counts
756,1650,301,1
757,1650,306,1
761,1650,385,1
771,1650,469,1
791,1650,957,1
773,1650,558,1
774,1650,577,1
776,1650,585,1
778,1650,611,1
779,1650,616,1
782,1650,640,1
785,1650,851,1
786,1650,887,1
790,1650,955,1
844,1650,23036,1
847,1650,26867,1
848,1650,29796,1
917,1675,1296,1
896,1675,425,1
904,1675,508,1
905,1675,556,1
909,1675,966,1
911,1675,1042,1
912,1675,1043,1
913,1675,1100,1
914,1675,1116,1
916,1675,1294,1
918,1675,1297,1
894,1675,416,1
920,1675,1304,1
922,1675,1526,1
925,1675,1585,1
926,1675,1650,1
927,1675,1829,1
930,1675,7188,1
931,1675,7189,1
934,1675,10939,1
936,1675,13179,1
895,1675,422,1
893,1675,403,1
850,1650,30413,1
872,1650,50417,1
851,1650,34955,1
852,1650,35270,1
857,1650,37252,1
862,1650,38436,1
864,1650,48860,1
867,1650,49402,1
868,1650,49737,1
869,1650,49738,1
870,1650,49739,1
873,1650,50526,1
891,1675,350,1
874,1650,51182,1
875,1650,52469,1
876,1675,9,1
880,1675,73,1
882,1675,111,1
883,1675,154,1
885,1675,195,1
889,1675,290,1
890,1675,328,1
1154,1725,29819,1
1157,1725,34346,1
746,1650,217,1
1402,1775,1131,1
1469,1775,26820,1
1472,1775,27043,1
1474,1775,28033,1
1475,1775,28418,1
1476,1775,29613,1
1477,1775,30049,1
1478,1775,30277,1
1479,1775,30535,1
1481,1775,31067,1
1482,1775,31370,1
1483,1775,35379,1
1484,1775,35500,1
1485,1775,35620,1
1490,1775,37253,1
1493,1775,38120,1
1495,1775,38216,1
1496,1775,45424,1
1499,1775,47511,1
1504,1775,50388,1
1508,1800,28,1
1511,1800,42,1
1468,1775,26672,1
1466,1775,24421,1
1464,1775,23895,1
1441,1775,15484,1
1408,1775,1297,1
1412,1775,1308,1
1415,1775,1552,1
1417,1775,1555,1
1419,1775,1565,1
1420,1775,1568,1
1423,1775,1751,1
1428,1775,7193,1
1433,1775,10740,1
1442,1775,15538,1
1462,1775,23748,1
1444,1775,16982,1
1450,1775,18501,1
1451,1775,18800,1
1452,1775,19200,1
1453,1775,19896,1
1454,1775,21018,1
1458,1775,23321,1
1459,1775,23407,1
1461,1775,23628,1
1513,1800,57,1
1515,1800,65,1
